country,region,alpha_2,alpha_3,population,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Inflation
Eritrea,east,ER,ERI,5647168,,,,,,,,,,,,,,4.8,13.1,12,10.3,3.7,9.5,8.4,19.9,14.6,16.9,22.7,25.1,12.5,15.1,9.4,22.2,33.9,10.3,5.9,4.8,5.9,10,28.5,-5.6,-13.3,-14.4,-16.4,4.9
Eswatini,south,SZ,SWZ,1160000,18.2,20.1,10.8,11.6,12.9,20.5,13.7,13.4,20.4,7.5,13.1,8.9,7.6,12,13.8,12.3,6.4,7.9,7.5,5.9,9.9,7.5,11.9,7.3,3.5,4.9,5.2,8.1,12.7,7.4,4.5,6.1,8.9,5.6,5.7,5,7.8,6.2,4.8,2.6,3.9
Ethiopia,east,ET,ETH,85237338,12.4,1.9,7.8,3.6,-0.3,18.4,5.5,-9.1,2.2,9.6,5.2,20.9,21,10,1.2,13.4,0.9,-6.4,3.6,7.9,0.7,-8.2,1.7,17.8,3.2,11.7,13.6,17.2,44.4,8.5,8.1,33.2,24.1,8.1,7.4,9.6,6.6,10.7,13.8,15.8,20.4
Gabon,central,GA,GAB,1514993,12.3,8.6,16.7,10.4,5.9,7.3,6.4,-1,-9.8,6.9,15.4,-9.8,-9.5,0.5,36.1,9.6,0.7,4,1.4,-1.9,0.5,2.1,0.2,2.1,0.4,1.2,-1.4,-1,5.3,1.9,1.4,1.3,2.7,0.5,4.5,-0.1,2.1,2.7,4.8,2,1.3
Gambia,west,GM,GMB,1782893,5,7.9,8.2,10.6,22.1,18.3,56.6,23.7,11.5,8.3,12.2,8.6,9.5,6.5,1.7,7,1.1,2.8,1.1,3.8,0.9,4.5,8.6,17,14.3,5,2.1,5.4,4.5,4.6,5,4.8,4.6,5.2,6.3,6.8,7.2,8,6.5,7.1,5.9
Ghana,west,GH,GHA,23832495,50,116.5,22.5,122.2,40,10.3,24.5,39.8,31.4,25.2,37.2,18.1,10,24.9,24.9,59.3,44.5,24.8,19.2,12.5,25.1,32.9,14.8,26.6,12.7,15.1,11.7,10.7,16.5,13.1,6.7,7.7,7.1,11.7,15.5,17.2,17.5,12.4,9.8,7.1,9.9
Guinea,west,GN,GIN,10057975,40,35,29.9,30.3,26,19,64.7,36.9,27.3,28.3,25.7,19.7,16.6,7.1,4.2,5.6,3,1.9,5.1,4.6,6.8,5.4,3,11,17.5,31.4,34.7,22.9,18.4,4.7,15.5,21.4,15.2,11.9,9.7,8.2,8.2,8.9,9.8,9.5,10.6
Guinea-Bissau,west,GW,GNB,1533964,64.8,41.9,16.5,23.3,64.9,112.7,26.5,86.8,60.3,80.8,33,57.6,69.4,48.2,15.2,45.1,50.9,49.1,8.1,-2.1,8.6,3.3,3.3,-3.5,0.8,3.4,2,4.6,10.4,-1.6,1.1,5.1,2.1,0.8,-1,1.5,2.7,-0.2,0.4,0.3,1.5
Kenya,east,KE,KEN,39002772,13.9,11.6,20.7,11.4,10.3,13,2.5,8.6,12.3,13.8,17.8,20.1,27.3,46,28.8,1.6,8.9,12.1,5.6,5,7.8,5.8,2.2,6,8.4,7.8,6,4.3,15.1,10.6,4.3,14,9.4,5.7,6.9,6.6,6.3,8,4.7,5.2,5.3
Lesotho,south,LS,LSO,2130819,19.6,12.2,12.4,17.5,10.8,13.2,18.2,11.6,11.6,14.8,11.5,17.9,17,13.8,7.3,10,9.1,8.5,7.8,8.6,6.1,6.9,12.6,7.2,5,3.4,6.1,8,10.7,7.4,3.5,5,6.1,4.9,5.4,3.2,6.6,4.4,4.8,5.2,4.9
Liberia,west,LR,LBR,3441790,,,,,,,,,,,,,,,,,,,,2,5.3,12.1,14.2,10.3,3.6,6.9,9.5,11.4,17.5,7.4,7.3,8.5,6.8,7.6,9.9,7.7,8.8,12.4,23.5,27,17
Libya,north,LY,LBY,6310434,14.3,13.2,13.8,10.5,12.4,9.1,3.4,4.4,3.1,4.5,0.7,11.7,9.4,7.5,10.7,8.3,4,3.6,3.7,2.6,-2.9,-8.8,-9.9,-2.1,1.3,2.7,1.5,6.2,10.4,2.4,2.5,15.9,6.1,2.6,2.4,14.8,24,28,-1.2,4.6,22.3
